id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
5L8FCi81vASYMJNWbODEDZ	Barbecue Bob	0	15	826	acoustic blues	blues	country blues	delta blues	memphis blues
00UuF3fAevVz8L0f1WfiQ6	Sleepy John Estes	1	21	1661	acoustic blues	blues	chicago blues	country blues	delta blues
7aExFIr0IHWO5aFjMrGwKw	Charley Patton	1	35	7191	acoustic blues	appalachian folk	blues	chicago blues	country blues
49KZvkEWchga5D1uhNo1yd	Blind Blake	1	24	2032	acoustic blues	blues	chicago blues	country blues	delta blues
6U174IQnD4TiKibxvVLYk6	Robert Wilkins	1	12	411	acoustic blues	blues	country blues	delta blues	memphis blues
66SiMdpsWXE23qqX0JaWg9	Furry Lewis	1	26	2191	acoustic blues	appalachian folk	blues	chicago blues	country blues
4vRyd1UZ8Eq98EppbwOBg6	Blind Willie McTell	1	37	9148	acoustic blues	blues	chicago blues	country blues	delta blues
2RhkTBo6ams9W8hXDZ3eKI	Papa Charlie Jackson	1	9	227	acoustic blues	blues	delta blues	jug band	memphis blues
1yhcG1yQNDC2i8JHlB3HRo	Mississippi Sheiks	1	21	1852	acoustic blues	appalachian folk	blues	country blues	delta blues
2naDLHeKqXSHT3DMII2eqb	Bo Carter	1	26	969	acoustic blues	blues	country blues	delta blues	memphis blues
3dahhupQzKVXptEwFBsodc	Frank Stokes	1	15	652	acoustic blues	blues	country blues	delta blues	memphis blues
7jmGjfkkVOjBdjf54YHhwg	Mance Lipscomb	2	24	1779	acoustic blues	blues	chicago blues	country blues	delta blues
6EsuMifB8c5rm5P2DdjiLe	Blind Lemon Jefferson	2	33	6151	acoustic blues	blues	chicago blues	country blues	delta blues
2WGyRLosdDgGJTLijIPpNC	Memphis Minnie	2	30	4880	acoustic blues	blues	boogiewoogie	chicago blues	country blues
0XFbUk3QnKwp0vl9sIQtIg	Tampa Red	2	26	1273	acoustic blues	blues	boogiewoogie	chicago blues	country blues
7mPFWoDGjh7ArW1yr79EX8	Blind Boy Fuller	2	23	2196	acoustic blues	blues	chicago blues	country blues	delta blues
07NzVZ0BHZ0QOOw7nGvCgo	Big Joe Williams	2	29	2691	acoustic blues	blues	chicago blues	country blues	delta blues
2gSskdDhLQCx3CQd6XKDhp	Bukka White	2	33	5814	acoustic blues	blues	chicago blues	country blues	delta blues
1FdwVX3yL8ITuRnTZxetsA	Mississippi John Hurt	2	45	22486	acoustic blues	blues	chicago blues	country blues	delta blues
15oeqKO5k5uZ5773tWvpda	Son House	2	44	29155	acoustic blues	blues	chicago blues	country blues	delta blues
2zlMeTjA7szCmqcJjBzYXJ	Skip James	2	37	14131	acoustic blues	blues	chicago blues	country blues	delta blues
5kO4xdEKLuHHHPreu3UmkZ	Blind Willie Johnson	2	42	19049	acoustic blues	blues	chicago blues	country blues	delta blues
7DtrCdyysCDj5BlVKcassv	Rev. Gary Davis	2	37	3661	acoustic blues	blues	chicago blues	country blues	delta blues
0m8dKC3T9anldCh2OgZ6pJ	Tommy McClennan	2	20	369	acoustic blues	blues	chicago blues	country blues	delta blues
1FGYC9AcBsascq5DSXX1Ie	Henry Thomas	2	18	808	acoustic blues	appalachian folk	blues	delta blues	memphis blues
6HwigzRpuWoCZDqMOQc5eu	Big Bill Broonzy	2	38	8619	acoustic blues	blues	chicago blues	country blues	delta blues
65oBffOa88Yjia8B9FTLAS	Cannon's Jug Stompers	2	14	399	acoustic blues	appalachian folk	delta blues	jug band	memphis blues
2FMBk3bZJMl4GMzLHrEWzM	Jim Jackson	2	7	140	acoustic blues	appalachian folk	delta blues	jug band	memphis blues
2m2vWbN6WZU0Mtv569ndeb	Sylvester Weaver	2	17	193	acoustic blues	blues	delta blues	memphis blues	piedmont blues
6NkmPGz9etvaz1jn4QQWKS	Curley Weaver	2	6	154	acoustic blues	blues	delta blues	jug band	memphis blues
3bOaXwSzOMYXFPU7ijebYK	Bumble Bee Slim	2	17	190	acoustic blues	blues	delta blues	memphis blues	piano blues
13ecnr6q5pYMKQcpi8acxy	Charley Jordan	2	9	153	acoustic blues	delta blues	jug band	memphis blues	piedmont blues
733uiglnvxVrnHAFs1TE0a	Memphis Jug Band	2	20	1245	acoustic blues	appalachian folk	blues	delta blues	jug band
65DrfMsqDV0FYVyuu372EA	Casey Bill Weldon	2	14	242	acoustic blues	blues	delta blues	memphis blues	piedmont blues
74g0xdNndEjFzMKSRFUMNM	Lonnie Johnson	3	30	3208	acoustic blues	blues	boogiewoogie	chicago blues	country blues
0K0qr72ojMFr5dMkUKgbW5	Roosevelt Sykes	3	24	757	acoustic blues	blues	boogiewoogie	chicago blues	delta blues
2FtoVJBkfbE89zyZJ0E9eR	Leroy Carr	3	19	722	acoustic blues	blues	boogiewoogie	chicago blues	country blues
5hId7yMy0kbGP6IiKWVDql	Robert Lockwood, Jr.	3	24	650	acoustic blues	blues	chicago blues	country blues	delta blues
4FViGgjWpnJJ21reE6pHko	Johnny Shines	3	21	835	acoustic blues	blues	chicago blues	country blues	delta blues
7dSnChJjb0jdfulJsIijoC	Arthur Big Boy Crudup	3	31	1653	acoustic blues	blues	chicago blues	country blues	delta blues
6EZzVXM2uDRPmnHWq9yPDE	Lightnin' Hopkins	3	50	36365	acoustic blues	blues	bluesrock	chicago blues	country blues
0f8MDDzIc6M4uH1xH0o0gy	Robert Johnson	3	53	101793	acoustic blues	blues	bluesrock	chicago blues	classic rock
3qXzj7WzBV3kwy1yEV1RcC	Brownie McGhee	3	32	1624	acoustic blues	blues	chicago blues	country blues	delta blues
43YDeIUqhR3Y5rRPSH6AOt	Pink Anderson	3	18	2065	acoustic blues	blues	country blues	delta blues	memphis blues
1kSOv0QaraiHwnDs5ld2kr	Kokomo Arnold	3	22	515	acoustic blues	blues	chicago blues	country blues	delta blues
1TJ9XdOFUqlSduhAVV7YfR	David Honeyboy Edwards	3	25	1150	acoustic blues	blues	chicago blues	country blues	delta blues
