id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
3WrFJ7ztbogyGnTHbHJFl2	The Beatles	0	85	2444658	british invasion	classic rock	merseybeat	protopunk	psychedelic rock
6waa8mKu91GjzD4NlONlNJ	The Hollies	1	59	82550	adult standards	album rock	art rock	bluesrock	brill building pop
1PCZpxHJz7WAMF8EEq8bfc	The Byrds	1	58	84578	album rock	art rock	bluesrock	brill building pop	british blues
70cRZdQywnSFp9pnc2WTCE	Simon & Garfunkel	1	74	665588	album rock	classic rock	folk	folk christmas	folk rock
74ASZWbe4lXaubB36ztrGX	Bob Dylan	1	77	1120334	album rock	classic rock	folk	folk christmas	folk rock
22bE4uQ6baNwSHPVcDxLCe	The Rolling Stones	1	80	1824401	album rock	british invasion	classic rock	folk rock	hard rock
1SQRv42e4PjEYfPhS0Tk9E	The Kinks	1	67	326129	album rock	alternative rock	art rock	bluesrock	british blues
3oDbviiivRWhXwIE8hxkVV	The Beach Boys	1	72	575688	album rock	brill building pop	classic rock	folk rock	mellow gold
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	1	74	678413	album rock	classic rock	folk rock	mellow gold	pop christmas
4x1nvY2FN8jxqAFA0DA02H	John Lennon	1	69	410312	album rock	art rock	classic rock	folk christmas	folk rock
7FIoB5PHdrMZVC3q2HE5MS	George Harrison	1	64	163806	album rock	art rock	bluesrock	british blues	classic rock
2VIoWte1HPDbZ2WqHd2La7	The Turtles	2	59	54904	brill building pop	british blues	bubblegum pop	classic rock	folk rock
1YqGsKpdixxSVgpfaL2AEQ	Small Faces	2	48	32647	album rock	bluesrock	brill building pop	british blues	british invasion
5670CyWrIOA7702gNjsGMZ	Manfred Mann	2	49	21501	bluesrock	brill building pop	british blues	british invasion	bubblegum pop
7CCn4PFRRRZF127jtCBAUe	The Lovin' Spoonful	2	53	34262	adult standards	brill building pop	bubblegum pop	classic rock	folk
2VL8sLEJ6lHEwocjc1pN9w	The Tremeloes	2	39	7658	adult standards	brill building pop	british blues	british invasion	bubblegum pop
48YxSlb23RAaCd4RyHcV9V	Herman's Hermits	2	49	21978	adult standards	brill building pop	british blues	british invasion	bubblegum pop
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	2	51	19267	bluesrock	brill building pop	british blues	british invasion	bubblegum pop
4QmkLL9JOqM9dusHS1Hghe	The Searchers	2	44	12242	adult standards	brill building pop	british blues	british invasion	bubblegum pop
