id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
3d1FsSTDduAlZz2BP8qEDd	Royal Forest	0	2	106	austindie	lo star
2qMFwenVjT4cnH0guKnvWM	Yiddish Cowboys	1	1	15	lo star
5lCiaew6GAoME9NTyZlsIA	Ydestroyde	1	0	2	lo star
3Krwjn1MQVFfgjgdZ5fcID	Troublesum	1	1	16	lo star
27HgnK42exP1FHpXg12H2n	Dylan McDonald	1	0	6	lo star
0L4RMWj9VhttZ7OUDdg9oi	The Roving Gamblers	1	0	1	lo star
5YK0zeo4wwul8hSPwE70Tg	Dkutz	2	0	14	lo star
7sGCt3DXEurMNmSl2gbVV4	Nexcyx	2	0	22	lo star
6eoBcEk560SXg54hxNClGU	Hector Ward & The Big Time	2	2	31	lo star
6X791HP6eLM1UC5YHzgGnh	Neon Windbreaker	2	0	10	lo star
20fhw9SB5PQwJVPGUOjVjb	The Wonderful Sound Of Induce	2	5	50	lo star
7b9oNYQgcmcDCFtFc3fNfp	JimEO	2	1	46	lo star
4XMGwti8detXumQqBGcaNR	Poetry 'N Lotion	2	0	17	lo star
2JSIQA9hr3vrj3L2pGtqSb	Chiha	2	0	6	lo star
6jq6RxL47bZeKPMFFYdYzC	Leah and the Moonlighters	2	0	12	lo star
17UUkxLWmRP5P47W5kwVVb	Xenia Rubinos	3	43	7477	brooklyn indie	escape room	indie r&b	lo star
4jCrYWdGlgewc2CSIkD9Js	Joseph Keckler	3	0	14	lo star
6P86FLVAK4sxu8OhyQJBvH	Kaitlyn Aurelia Smith	4	41	5273	ambient	bass music	chamber psych	compositional ambient	drone
7AZwAitWq1KcFoIJhRWb6V	Deerhoof	4	44	29491	alternative rock	bay area indie	chamber pop	chamber psych	dancepunk
5eerVxtb9lY9p6D7m89Bs7	Jenny Hval	4	46	12070	ambient	art rock	chamber pop	chamber psych	dark jazz
7rkeuiwd38oOVhBvOtLL1P	Buke & Gase	4	36	6300	brooklyn indie	deep indie rock
1zjqPZmlIYTMAjmDtigRSo	Olga Bell	4	32	2272	chamber psych	escape room	fluxwork
71v2NgSvZgC7vRXPOo5yxL	Pedro Menendez Fusion Ensemble	4	0	5	lo star
0romFcKJdf5jOe6S8row0Q	Ian William Craig	5	32	1776	ambient	chamber psych	compositional ambient	drone	fluxwork
2L00vHmYcwC9OlsEv6M5UO	Steve Hauschildt	5	39	4303	ambient	bass music	chamber psych	chillwave	compositional ambient
21WZbOCU9nis3tJgqv0rFX	Mikael Seifu	5	22	2312	fluxwork
4164ldqgBP6uc3FuA1gA4b	Nonkeen	5	34	3964	ambient	chamber psych	compositional ambient	fluxwork	microhouse
2c9yn5DJQd5es7YMY92ikZ	Holly Herndon	5	28	11004	escape room	fluxwork	indie r&b
03G0pJHLHj7FRuCV5OYzpv	The Fiery Furnaces	5	33	8328	alternative rock	antifolk	brooklyn indie	chamber pop	e6fi
3EMSpwRtkvUTxfB4aS5xnA	Battles	5	45	58812	alternative dance	brooklyn indie	dancepunk	electronic	experimental rock
5JLqvjW3Nyom2OsRUyFsS9	Xiu Xiu	5	42	20157	alternative rock	antifolk	bay area indie	chamber pop	dancepunk
2z78AlkdwE2Ghj9EB50M6z	Liars	5	43	36102	alternative dance	brooklyn indie	dancepunk	experimental	experimental rock
2og3FOCLYXT9H7IYE6QPUq	Lightning Bolt	5	34	15321	dancepunk	experimental	experimental rock	freak folk	japanoise
0HWfFWL4vVrbaBQqxVCwCi	Julianna Barwick	5	52	17401	ambient	chamber pop	chamber psych	chillwave	compositional ambient
7ASMj5TvVCYDILcfTockhI	Circuit Des Yeux	5	29	2015	chamber psych	chicago indie	drone folk	fluxwork	freak folk
3Uqu1mEdkUJxPe7s31n1M9	Weyes Blood	5	51	7400	chamber pop	chamber psych	dream pop	freak folk	garage psych
0bsV0sUjnCuCTYOnNHQl3E	Julia Holter	5	46	39574	art rock	chamber pop	chamber psych	chillwave	dream pop
4ENNORrr0p2n5eaYl4ZXgG	Susanna	5	32	1492	dark jazz
2Tcg8ur8LDClHZG1I11iN8	Mr. Gnome	5	38	7521
5VF0YkVLeVD4ytyiyVSIiF	Dirty Projectors	5	51	94067	alternative rock	antifolk	brooklyn indie	chamber pop	chillwave
676oR6vRgfSzaBibbPhLhH	Menomena	5	40	23643	chamber pop	dancepunk	experimental rock	freak folk	indie folk
7CHNUgkepqsMm9tYnwtVDt	Marnie Stern	5	24	5243	math rock	noise rock
2DoQBgPsB9AdmWpIa2hUSz	Fennesz	6	44	12871	ambient	art rock	avantgarde	chamber pop	compositional ambient
6u5axd0rpDsWSmzhFfb2VB	William Basinski	6	41	14228	ambient	compositional ambient	dark jazz	drone	dub techno
1qiwaJwjKod5WhcYZ76O1B	Tim Hecker	6	47	29996	ambient	art rock	bass music	chillwave	compositional ambient
5MqgtmMdtrsZIQpZzLhpX5	Jefre CantuLedesma	6	31	2642	ambient	dark jazz	drone	experimental	fluxwork
