id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
3WrFJ7ztbogyGnTHbHJFl2	The Beatles	0	85	2443535	british invasion	classic rock	merseybeat	protopunk	psychedelic rock
1SQRv42e4PjEYfPhS0Tk9E	The Kinks	1	67	325998	album rock	alternative rock	art rock	blues-rock	british blues
3oDbviiivRWhXwIE8hxkVV	The Beach Boys	1	72	575523	album rock	brill building pop	classic rock	folk rock	mellow gold
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	1	73	678279	album rock	classic rock	folk rock	mellow gold	pop christmas
4x1nvY2FN8jxqAFA0DA02H	John Lennon	1	69	410110	album rock	art rock	classic rock	folk	folk christmas
7FIoB5PHdrMZVC3q2HE5MS	George Harrison	1	64	163664	album rock	art rock	blues-rock	british blues	classic rock
1PCZpxHJz7WAMF8EEq8bfc	The Byrds	2	58	84500	album rock	art rock	blues-rock	brill building pop	british blues
3ICflSq6ZgYAIrm2CTkfVP	The Animals	2	66	192211	album rock	blues-rock	brill building pop	british blues	british invasion
6waa8mKu91GjzD4NlONlNJ	The Hollies	2	59	82500	adult standards	album rock	art rock	blues-rock	brill building pop
2lxX1ivRYp26soIavdG9bX	The Yardbirds	2	51	61941	album rock	art rock	blues	blues-rock	brill building pop
1YqGsKpdixxSVgpfaL2AEQ	Small Faces	2	47	32633	album rock	blues-rock	brill building pop	british blues	british invasion
2VIoWte1HPDbZ2WqHd2La7	The Turtles	2	59	54850	brill building pop	british blues	bubblegum pop	classic rock	folk rock
320EPCSEezHt1rtbfwH6Ck	The Monkees	2	61	101398	adult standards	boy band	brill building pop	british blues	bubblegum pop
4Q82S0VzF8qlCb4PnSDurj	Brian Wilson	2	45	21022	brill building pop	folk rock	singer-songwriter
4pJCawaKSZ40EnxN0YEYw3	Badfinger	2	47	20941	album rock	blues-rock	brill building pop	british blues	bubblegum pop
3sFhA6G1N0gG1pszb6kk1m	Wings	2	61	52687	album rock	art rock	classic rock	folk	folk rock
6DbJi8AcN5ANdtvJcwBSw8	Ringo Starr	2	48	55143	album rock	brill building pop	british blues	bubblegum pop	classic rock
3RTzAwFprBqiskp550eSJX	Harry Nilsson	2	58	49331	adult standards	art rock	brill building pop	british blues	bubblegum pop
3bTAaMx9nf237AkBnGw3vL	Jeff Lynne	2	40	14480	classic rock	glam rock	mellow gold	soft rock
0rESpKEusFHxhW59MIf7eM	The Flying Burrito Brothers	3	41	14906	alternative country	blues-rock	classic rock	country rock	folk
6vLlQYujOujIrm7zAKzEdG	Donovan	3	57	68322	album rock	art rock	blues-rock	brill building pop	british blues
040Bv6cZTRh30LyyYVXgJX	Gene Clark	3	36	6261	alternative country	british folk	country rock	folk	folk rock
3eskO5m0H4yiF64vRySBjr	Buffalo Springfield	3	60	74011	blues-rock	british blues	classic rock	country rock	folk
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	3	51	19251	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
7CCn4PFRRRZF127jtCBAUe	The Lovin' Spoonful	3	53	34226	brill building pop	bubblegum pop	classic rock	folk	folk rock
48YxSlb23RAaCd4RyHcV9V	Herman's Hermits	3	49	21951	adult standards	brill building pop	british blues	british invasion	bubblegum pop
57xdnSVt4ahJCIXYLieQ25	The Troggs	3	49	24701	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
4QmkLL9JOqM9dusHS1Hghe	The Searchers	3	44	12228	adult standards	brill building pop	british blues	british invasion	bubblegum pop
5U16QlMnlSAhkQxBZpLyLO	The Pretty Things	3	39	13619	art rock	blues-rock	british blues	british folk	british invasion
5GUVj2b1lJ4DolQyHlzyaO	Blind Faith	3	43	26206	album rock	blues	blues-rock	british blues	classic rock
5BaHqGtf6UAZnHfqdPaTDA	Them	3	48	12492	blues-rock	british blues	british invasion	bubblegum pop	classic garage rock
2kuNswDC82PL9xRbfaZJaS	The Association	3	43	11411	adult standards	brill building pop	british blues	bubblegum pop	christmas
32HPpJAhgnGPT3V7UOggzi	Paul Revere & The Raiders	3	39	7081	blues-rock	brill building pop	british blues	bubblegum pop	classic garage rock
2IU5UBup85LmAXh5U36DeC	The Grass Roots	3	42	9478	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
01hRNr3yF5bYnPq4wZ88iI	Tommy James & The Shondells	3	50	18300	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
0Lpr5wXzWLtDWm1SjNbpPb	Todd Rundgren	3	50	30173	album rock	art rock	blues-rock	brill building pop	british blues
3M8NUieZuEOMs0Hf210w4n	Van Dyke Parks	3	27	3978
5gl6pfPwJ1coivVUMZPiS9	Dennis Wilson	3	34	4666	country rock	folk rock	roots rock	singer-songwriter
3UvcmAOZt64oKpP95f6MMM	Big Star	3	50	32109	alternative country	alternative pop	alternative rock	anti-folk	art rock
7Kkx4dACo6kFSeT9wjfVA5	The Raspberries	3	49	5020	bubblegum pop	jangle pop	power pop	pub rock
2hO4YtXUFJiUYS2uYFvHNK	Traveling Wilburys	3	51	30517	album rock	classic rock	folk rock	mellow gold	rock
1gRNBaI4yn6wCCTvRhGWh8	Don McLean	3	62	73900	adult standards	brill building pop	classic rock	folk	folk christmas
7jefIIksOi1EazgRTfW2Pk	Electric Light Orchestra	3	68	315163	album rock	art rock	bow pop	classic rock	dance rock
1C4kZs9XyNnm9HWFng6ZFH	Justin Hayward	3	40	2864	art rock	mellow gold	progressive rock	soft rock	symphonic rock
3lHXm91pKLq9Sxi6CoRKWu	Roger Hodgson	3	39	11850	album rock	art rock	mellow gold	progressive rock	soft rock
27q3FvkUk607B71x6G4rXz	Gram Parsons' International Submarine Band	4	11	704	country rock	outlaw country	roots rock
6i8kpDUSsrOOhPHfNYhMeF	The International Submarine Band	4	17	876	country rock	outlaw country	roots rock
1KA3WXYMPLxomNuoE22LYd	Gram Parsons	4	44	20195	alternative country	country rock	folk	folk rock	mellow gold
3Q6OOkfssqoMSTtl11J5Uk	Love	4	49	32257	art rock	brill building pop	british blues	british folk	classic funk rock
59zdhVoWxSoHMc74n098Re	David Crosby	4	50	14273	art rock	blues-rock	british blues	british folk	classic rock
4O8NcI06slOnzcloI95qfe	John Phillips	4	22	865	country rock	folk rock	roots rock
3ExrAwcOqgGjt9kFRwdM76	Roger McGuinn	4	42	3060	british blues	british folk	country rock	folk	folk rock
3QcM2tU8CDY3LyzvwCj1CI	Dillard & Clark	4	21	920	country rock	roots rock
5I6MzhNEMk27cZsCqGAIYo	The Youngbloods	4	39	5349	blues-rock	british blues	bubblegum pop	classic garage rock	classic rock
2pdvghEHZJtgSXZ7cvNLou	Crosby, Stills & Nash	4	58	120349	album rock	art rock	blues-rock	british blues	classic rock
4WlSvDKaq1PA2Nr7cCIPxX	Stephen Stills	4	48	19318	blues-rock	british blues	british folk	classic rock	country blues
5670CyWrIOA7702gNjsGMZ	Manfred Mann	4	48	21488	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
0XTxadWXVyfB8eTIYOjMYj	Gary Lewis & The Playboys	4	38	4419	adult standards	brill building pop	british invasion	bubblegum pop	christmas
1wCc2Wgga1H8C7u57pcqYk	Freddie & The Dreamers	4	30	2799	brill building pop	british invasion	bubblegum pop	merseybeat	rock-and-roll
2VL8sLEJ6lHEwocjc1pN9w	The Tremeloes	4	39	7651	adult standards	brill building pop	british blues	british invasion	bubblegum pop
3UmBeGyNwr4iDWi1vTxWi8	Gerry & The Pacemakers	4	47	14818	adult standards	brill building pop	british blues	british invasion	bubblegum pop
41qTjISnBzDLRlrJEJNGKj	The Merseybeats	4	25	1684	british invasion	bubblegum pop	merseybeat	rock-and-roll
5gNduPlUGHsgy1w7f71obH	The Swinging Blue Jeans	4	37	2941	brill building pop	british blues	british invasion	bubblegum pop	classic garage rock
3qL4moFMePG5zA87tLcCOM	Billy J. Kramer	4	34	1334	adult standards	brill building pop	british blues	british invasion	bubblegum pop
2BLpGstUHxDc6vHfBEiaXm	The Move	4	32	4302	british blues	bubblegum pop	classic garage rock	classic rock	folk rock
5mcarhiatlvfCghqcn73rC	The Seeds	4	43	12800	british blues	classic garage rock	classic rock	experimental rock	freakbeat
1kkpNi8Ii5MhBMxmUhN5g9	The Electric Prunes	4	36	7762	british blues	bubblegum pop	canterbury scene	classic garage rock	classic rock
1CD77o9fbdyQFrHnUPUEsF	Traffic	4	54	39514	album rock	art rock	blues-rock	british blues	classic funk rock
7nkLRaWHImCvWGHdNGnhVE	Ten Years After	4	49	45749	album rock	art rock	blues	blues-rock	british blues
2CxLP749mup3ncPrXgCnvU	Humble Pie	4	40	18861	album rock	blues-rock	british blues	classic rock	country rock
2rc78XDH9zuJP6bm78lU8Z	Derek & The Dominos	4	55	45927	album rock	blues	blues-rock	british blues	chicago blues
4ZSzroBNV7HzBDO9aohuF1	The Cowsills	4	37	4033	brill building pop	bubblegum pop	classic garage rock	folk rock	merseybeat
4zmxet3ZPdSmL3Xyv1Wegb	The Buckinghams	4	31	2599	brill building pop	bubblegum pop	classic garage rock	folk rock	merseybeat
4DQj1q0unpi9KF8jO1Wqks	The Beau Brummels	4	30	2757	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
5X3TuTi9OIsJXMGxPwTKM2	The Young Rascals	4	41	4523	brill building pop	bubblegum pop	classic garage rock	classic rock	folk rock
3BqaUtuQmqIHg7B5Bc7fP7	Nick Lowe	4	46	21746	alternative country	art rock	country rock	dance rock	folk
46njgd2Rq9tZc4ZjeQMgbh	Boz Scaggs	4	53	39569	adult standards	album rock	blues-rock	british blues	classic funk rock
5MWBg16f5UYiaSlyVhzlIW	John Cale	4	47	23926	art rock	british folk	chamber pop	country rock	dance rock
04tBaW21jyUfeP5iqiKBVq	Scott Walker	4	43	24779	ambient	art rock	british folk	canterbury scene	chamber pop
1yap1SgRPMxgyfrrDlQ95y	Emitt Rhodes	4	37	3374	country rock	jangle pop	power pop	pub rock
04zDwTMN8SPPydYIfSeFYf	Carl Wilson	4	15	431
3yesh1QeNXucaDFw8ZPKxd	Flamin' Groovies	4	39	8045	blues-rock	british blues	classic garage rock	classic rock	country rock
